,artist,song_name,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,lyrical_valence,pca1,pca2
29,Dru Hill,In My Bed - Radio Edit,=,=,=,--,+,=,=,-,=,=,--,15.810648549143785,-0.4725306994056637
30,311,Creatures (For a While),=,++,=,--,++,--,=,++,++,=,--,29.24543530089413,0.1368099266906245
31,Jeezy,White Keys,+,+,=,--,++,=,=,++,+,=,--,-1.410064669874167,-0.03499685521754006
32,The Neighbourhood,Sadderdaze,=,=,=,--,=,--,++,+,=,=,--,-41.40316290935298,-0.25011994012785105
33,Ivan & Alyosha,Catch the Wind,=,=,=,--,=,++,++,=,=,=,--,10.612129512173997,0.41177580081374743
34,House Of Pain,Guess Who's Back,+,+,+,--,++,--,++,+,++,=,--,44.91953906898126,-0.42595194482833715
35,Bowling For Soup,Drinkin Beer on a Sunday,=,++,+,--,++,-,++,++,++,=,--,45.05209717988931,-0.45502064676933407
36,Foreign Air,Lonely World,=,+,=,--,=,+,++,=,=,=,--,-25.551065598475496,0.21631612335208836
37,Stumbles,When I Call,=,++,=,--,++,-,++,=,=,=,--,-13.37706788563804,-0.3379656381476603
38,Scarlxrd,dx dead pexple dream?,+,+,=,--,=,--,=,+,-,=,--,-11.349955406358958,-0.31683921091988826
39,Madonna,Extreme Occident,+,=,=,--,=,--,++,=,-,=,--,14.579025360913173,0.5717357722279339
40,Migos,Where Were You,+,=,=,--,+,=,=,+,=,=,--,-26.394652722222737,0.21455543597818097
41,Taylor Swift,Crazier,=,=,=,--,=,--,++,=,-,=,--,-28.362587586406086,0.10324305099815909
42,Walker Montgomery,Just Say When,=,+,=,--,=,--,=,+,++,=,--,-11.387003186878175,-0.21194821515222045
43,88GLAM,Lavish,+,=,=,--,++,-,++,=,=,=,--,-1.403732034712988,-0.06520677904663909
44,Toby Keith,The Sha La La Song,=,++,=,--,++,-,++,=,++,=,--,-6.412168416776363,-0.047055941414934445
45,Celly Cel,In The Bay,++,+,=,--,++,--,=,++,++,=,--,30.740217439542015,0.12474297318028656
46,Quality Control,"Mediterranean (Quality Control, Offset & Travis Scott)",++,+,=,--,++,--,=,+,+,=,--,-5.446391089444005,-0.15427405700859098
47,Journey,Don't Be Down On Me Baby,-,=,=,--,=,=,=,+,-,=,--,-34.38403292957726,-0.04089395568097342
48,Bloc Party,Selfish Son,-,+,=,--,+,--,++,=,=,=,--,8.54266044442846,0.4327475255994211
49,The National,You Had Your Soul With You,=,++,=,--,++,--,++,=,=,=,--,-7.375245172260756,-0.10006480237861491
50,Rich The Kid,Racks On (feat. YoungBoy Never Broke Again),+,=,=,--,++,--,=,++,=,=,--,-3.229097252742906,-0.1338103295058106
51,Pearl Jam,Red Mosquito,-,+,=,--,+,=,++,++,=,=,--,11.90637395957187,0.49294255307361956
52,Dabin,Holding On,=,+,=,--,=,--,++,=,=,=,--,-16.394842457516198,-0.44284502594938085
53,Martin Garrix,There For You - Araatan Remix,=,=,=,--,++,=,++,=,++,=,--,48.484592856544154,0.7289199551931554
54,Jack Johnson,"The Horizon Has Been Defeated / Mother and Child Reunion - Live At Bonnaroo, Manchester, Tennessee/2008",=,++,=,--,++,=,++,++,++,=,--,15.537389753297596,-0.33972211219533716
55,B.o.B,Summers Day,+,+,=,--,++,--,++,=,++,=,--,8.713869079671332,0.3840123962986909
56,Fana Hues,Icarus,=,=,=,--,+,--,++,+,=,=,--,4.91498276559704,0.11416597086356838
57,Amy Millan,Skinny Boy,-,+,=,--,=,--,++,++,+,=,--,-3.46354076308684,0.1373662356340266
58,New West,Five Miles High,=,=,=,--,=,+,=,++,=,=,--,-21.430053755815,0.48834705695539155
59,Beastie Boys,Rhymin & Stealin,=,++,=,--,++,--,++,=,=,=,--,-9.172305740093694,-0.15699864585152407
60,Young Thug,Hercules,+,=,=,--,++,--,=,=,+,=,--,-14.447473861004124,-0.3986220809079112
61,Yungeen Ace,Step Harder,++,+,=,--,++,--,=,++,=,=,--,-6.352811202999497,-0.06786867452148684
62,FLETCHER,Princess,=,=,=,--,=,--,++,=,++,=,--,10.563518299828488,0.5458802040446469
63,Wu-Tang Clan,Impossible,=,=,=,--,++,--,++,++,+,=,--,30.225740836126892,-0.057218797579852716
64,Rascal Flatts,My Worst Fear,=,=,=,--,=,-,++,=,=,=,--,-19.239663384503046,0.538476319318213
